---EDNidJUA, 30.000, 40.000," /m/02qldy,/m/02zsn,/m/05zppz,/m/09x0r"
-1SqCsu9uag,30.0,40.0," /m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y"
-ENDOYcu-ww,410.0,420.0," /m/03qc9zr,/m/04rlf,/m/09x0r,/t/dd00126"
-KXNiWfYC9Y,0.0,10.0," /m/026t6,/m/02hnl,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-Ta0uMIkpac,30.0,40.0," /m/01z7dr,/m/025td0t,/m/04rlf,/m/0l14gg"
-VEXMJ62rxc,30.0,40.0," /m/04rlf,/m/04szw,/m/09x0r"
-fX2B_RvG5w,30.0,40.0, /m/09x0r
-i43hL6yXjM,30.0,40.0," /m/01wy6,/m/04rlf,/m/04szw,/m/085jw"
-j8nraQB_ew,30.0,40.0, /m/04rlf
-kjlcFurlW4,30.0,40.0," /m/02w4v,/m/04rlf"
-lhVRX0xYSw,110.0,120.0," /m/07cx4,/m/09x0r,/t/dd00125"
-lkZKxSyXIs,30.0,40.0, /m/04rlf
-pqeY5U8Ky8,30.0,40.0," /m/04rlf,/m/0ggx5q"
-ptesEOvq2M,30.0,40.0," /m/04rlf,/m/0g293"
-qVoVHW7GHc,30.0,40.0," /m/04rlf,/m/09x0r"
-uxZYyGs9L0,30.0,40.0," /m/09x0r,/t/dd00129"
-wW_nszZCpc,5.0,15.0, /m/0g6b5
-ySYw9mVf_A,30.0,40.0," /m/02qldy,/m/04rlf,/m/05zppz,/m/09x0r,/m/0brhx"
-zVGs8QmK1I,210.0,220.0, /m/04rlf
0-0UKKMKiVg,560.0,570.0, /m/053hz1
05FetYnIzY8,30.0,40.0, /m/09x0r
06-g5jz-OGc,20.0,30.0, /m/04zjc
082FwZUHZt8,30.0,40.0," /m/04rlf,/m/09x0r"
0F54miBVMo4,80.0,90.0," /m/013y1f,/m/04rlf,/m/04szw"
0JxmYWCgGCE,30.0,40.0, /m/04229
0SLli-eh_Dw,30.0,40.0," /m/02qldy,/m/05zppz,/m/09x0r"
0U5OfeJ1TDM,30.0,40.0," /m/04rlf,/t/dd00003"
0VsB_qwD6i4,30.0,40.0," /m/04rlf,/m/0j6m2"
0ZXEYr3e3AM,30.0,40.0, /m/04rlf
0e75BCvaDPk,30.0,40.0," /m/02mk9,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
0eTcH_XeCCQ,30.0,40.0, /m/09x0r
0ecSwGDAao4,30.0,40.0, /m/09x0r
0kI_X04z9QE,210.0,220.0, /m/09x0r
0l3EVz_mWRs,30.0,40.0," /m/04rlf,/m/06j64v"
0nMRa7gh1Tc,350.0,360.0," /m/013y1f,/m/03xq_f"
0tBc7uemyPs,200.0,210.0," /m/018vs,/m/0342h,/m/04rlf,/m/04szw"
0yqJGIHEHjQ,30.0,40.0," /m/06h7j,/m/09x0r"
15jJAjwcW3E,30.0,40.0," /m/02lkt,/m/04rlf,/m/07gxw"
18tpMkI4f2I,30.0,40.0," /m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y"
1A04cmh5JFg,24.0,34.0," /m/02mk9,/t/dd00066"
